,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent32,0.7490816214687499,0.4236905952665453,1.3350813877921872,305.546875,64,62,2,0
Agent25,0.7098441277156247,0.2619902547900397,0.9758803719625003,1278.03125,64,46,18,0
Agent33,0.7020527619078126,0.5009244229720178,1.3779260460796872,566.0625,64,60,4,0
Agent27,0.6904197922468748,0.4426544618191032,1.3626087773265623,390.796875,64,63,1,0
Agent67,0.6819000911484373,0.42713957138011566,1.3120438078187495,797.234375,64,61,3,0
Agent41,0.6677646665265627,0.4126144821983408,1.2648329723156244,828.484375,64,59,5,0
Agent68,0.661790539446875,0.36376128787343254,1.2121876228156245,1153.859375,64,58,6,0
Agent3,0.6384041685109373,0.41469979316831485,1.3054633034109375,1244.734375,64,60,4,0
Agent29,0.6372548882437498,0.48653402225854536,1.4207837281921873,640.875,64,64,0,0
Agent24,0.6356429299453127,0.36834462980559785,1.2384970774359376,1145.578125,64,60,4,0
Agent61,0.6328326134796876,0.42537192518279243,1.2848105504156246,964.140625,64,59,5,0
Agent2,0.6314871128265626,0.3886708555709922,1.3017513937703127,1023.34375,64,62,2,0
Agent18,0.6062192737249997,0.45682574962181266,1.2534394498609371,796.71875,64,54,10,0
LoneWolfAgent,0.605010393984375,0.4477052659966558,1.2874204416874997,122.875,64,56,8,0
Agent14,0.5904885277109372,0.45971514753047027,1.3599660681999994,738.859375,64,61,3,0
Agent64,0.5604097470703125,0.3458932214681969,1.170852329390625,82.5625,64,55,9,0
Agent22,0.5221923379265624,0.43715316037597063,1.3820458592937497,530.765625,64,64,0,0
