,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent32,0.7611976330828127,0.42413817450565994,1.3367775753718745,291.15625,64,62,2,0
Agent27,0.7100615234609375,0.42294054647699053,1.355377676335937,381.953125,64,64,0,0
Agent33,0.6909260652765623,0.4687376564364341,1.3163909820656245,553.515625,64,58,6,0
Agent25,0.6791969283390624,0.25541569377796897,0.9377224118015625,1231.4375,64,44,20,0
Agent29,0.6589852012546872,0.49324992982786964,1.4284308884843746,620.375,64,64,0,0
Agent67,0.65570804588125,0.44343401231619534,1.33599315726875,794.75,64,61,3,0
Agent68,0.6512778304359373,0.34860924449932945,1.1801589445593743,1047.546875,64,57,7,0
Agent41,0.60974448038125,0.40877236952931806,1.1943107630624996,820.875,64,54,10,0
Agent3,0.6070806466687498,0.4090456226305234,1.2720899142249995,1295.09375,64,58,6,0
Agent61,0.5989446491,0.399653199057782,1.2129083325265622,975.015625,64,56,8,0
Agent18,0.5933877814984372,0.4381648148477213,1.2171326868749996,730.234375,64,53,11,0
WolfpackAgent,0.5931556636703121,0.4430508876732035,1.2737659135468744,111.625,64,55,9,0
Agent24,0.5829992840343748,0.34555158263085417,1.1515051501828124,1094.890625,64,55,9,0
Agent14,0.5632037381031249,0.4426549166527009,1.301476545210937,746.296875,64,58,6,0
Agent2,0.5505901908562498,0.3419639507803405,1.1169680014203125,1026.296875,64,53,11,0
Agent64,0.5381669944874998,0.326432547983048,1.1135825726062503,78.5625,64,52,12,0
Agent22,0.509166067340625,0.4202340559910258,1.3629939321999995,445.1875,64,64,0,0
