,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent25,0.7411713481499996,0.26784882678074773,1.0130465889900002,1234.5166666666667,60,45,15,0
Agent32,0.7004228945066662,0.37855919162411955,1.2513697035949998,301.0833333333333,60,56,4,0
Agent27,0.6867652096933335,0.42990919760092977,1.3477154525899997,393.9166666666667,60,59,1,0
Agent41,0.6796126304950001,0.4274115968422268,1.2893880908549995,844.0833333333334,60,56,4,0
Agent67,0.6770100061316666,0.4267389887402018,1.322867356603333,766.2,60,58,2,0
Agent3,0.669045832263333,0.4171373939342638,1.353769079605,1372.1833333333334,60,59,1,0
Agent68,0.6602439681866666,0.35968769927222866,1.2188942470133335,1037.9833333333333,60,55,5,0
Agent29,0.642606453338333,0.4839381973608201,1.4198827135099996,633.3166666666667,60,60,0,0
Agent33,0.6332790826999999,0.4499058652229658,1.24734438913,564.3833333333333,60,51,9,0
Agent24,0.6230773283333332,0.35040016879082714,1.2028409208400002,1116.8666666666666,60,55,5,0
Agent2,0.6098666020216668,0.37909457644694117,1.2425404104566666,1061.0166666666667,60,55,5,0
Agent18,0.6084409800516665,0.4419226903810855,1.2846782100899996,783.8166666666667,60,54,6,0
Agent61,0.5846733911616666,0.3992641871748287,1.2431920073099996,947.8833333333333,60,55,5,0
Agent14,0.5698514046516665,0.44341928603992176,1.310836808848333,743.5833333333334,60,55,5,0
Agent64,0.5404587292516664,0.32117600101227656,1.1391629952133338,79.33333333333333,60,51,9,0
Agent22,0.49362892495166655,0.4081571788483681,1.3527805971266669,502.5,60,60,0,0
