,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent25,0.7233244405390622,0.2607929933027451,0.9882183637171877,1272.3125,64,47,17,0
Agent32,0.7163604899781253,0.38491244725995466,1.2503948638984368,291.734375,64,59,5,0
Agent33,0.6857484397328122,0.4828924580825482,1.334143145685937,573.8125,64,58,6,0
Agent41,0.6766601513125,0.4256671725640252,1.2823556935265625,800.578125,64,59,5,0
Agent68,0.667144700759375,0.3722825467260431,1.2477383562937496,1075.03125,64,60,4,0
Agent27,0.6651240056359375,0.4172216764660494,1.3083040493171871,375.328125,64,61,3,0
Agent2,0.6517150953828125,0.40800330495593234,1.3336764713046871,1018.78125,64,63,1,0
Agent24,0.6489443535390627,0.3758684694780958,1.2573125809593748,1071.96875,64,60,4,0
Agent3,0.6479906001734371,0.41136038815942566,1.3199075846812494,1294.453125,64,61,3,0
Agent29,0.6419698045406248,0.4915317117705217,1.430046099285937,628.234375,64,64,0,0
WolfpackAgent,0.6327499943859376,0.47767177733931954,1.382547165120312,110.796875,64,60,4,0
Agent67,0.6241660496656248,0.3925375264366686,1.2227945883984375,769.609375,64,57,7,0
Agent18,0.6191586277671873,0.4434088765409393,1.2670016382921871,766.453125,64,56,8,0
Agent61,0.6071674310437499,0.3930971413320205,1.223771058985937,970.21875,64,58,6,0
Agent64,0.5635482020609374,0.3390949734384817,1.1819334329640627,77.96875,64,56,8,0
Agent14,0.5409769157359373,0.4330706767757526,1.2509912107249996,755.078125,64,55,9,0
Agent22,0.5115267941671874,0.42879759246286,1.367415889684375,488.609375,64,64,0,0
